subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.463788,0.451346,0.47564,0.615997,0.631051,0.601446,0.486877,0.70469,0.694234,0.612883,0.645971,0.581851,0.466876,0.464557,0.469229,0.503885,0.495182,0.512374,0.582518,0.585319,0.579658,0.467995,0.469479,0.466448,0.342455,0.550731,0.54649,0.548866,0.612987,0.644964,0.656407,0.633332,0.571925,0.57295,0.570971,0.551293,0.536022,0.563528,0.704578,0.711395,0.697643,0.592858,0.572943,0.611283,0.609469,0.622386,0.595615,0.751739,0.534218,0.532023,0.536617,0.605183,0.610872,0.600443,0.527171,0.531536,0.522329,0.516537,0.523799,0.509125,0.535704,0.517075,0.546304
sub-FREAD002,0.491755,0.490887,0.492582,0.611224,0.625332,0.597587,0.483164,0.677463,0.684925,0.663612,0.705764,0.624079,0.520102,0.51873,0.521493,0.548058,0.548415,0.547711,0.571134,0.596031,0.545711,0.496412,0.502978,0.489572,0.28268,0.538046,0.519874,0.530055,0.624833,0.64701,0.65211,0.641825,0.619683,0.649694,0.591741,0.597157,0.595942,0.59813,0.721873,0.721635,0.722116,0.577514,0.564659,0.589407,0.601796,0.603664,0.599793,0.753569,0.598166,0.598986,0.59727,0.638725,0.660243,0.620793,0.533778,0.521709,0.547165,0.527601,0.529253,0.525916,0.532268,0.544895,0.525083
sub-FREAD003,0.445181,0.442158,0.44806,0.618084,0.614859,0.621202,0.473344,0.667603,0.667472,0.592682,0.628827,0.558784,0.471641,0.486138,0.456933,0.497627,0.499501,0.495799,0.627601,0.672378,0.581877,0.45507,0.457931,0.45209,0.490354,0.531212,0.513176,0.523281,0.608763,0.655401,0.656284,0.654502,0.505406,0.477863,0.53105,0.540453,0.532623,0.546727,0.716573,0.714619,0.71856,0.562919,0.548172,0.576563,0.627203,0.635138,0.618693,0.721785,0.545553,0.555132,0.535081,0.578789,0.570794,0.585451,0.517435,0.522527,0.511786,0.532588,0.532247,0.532936,0.52951,0.52191,0.533834
sub-FREAD004,0.478701,0.514194,0.444888,0.614006,0.620891,0.60735,0.500056,0.688747,0.698053,0.620543,0.629701,0.611954,0.528158,0.529912,0.526379,0.506871,0.522789,0.491344,0.49985,0.493843,0.505985,0.462719,0.464942,0.460404,0.548398,0.482105,0.487811,0.484614,0.669781,0.624495,0.631867,0.617002,0.61678,0.604499,0.628215,0.576841,0.589585,0.56663,0.668438,0.677131,0.659595,0.586338,0.585869,0.586772,0.586566,0.593683,0.578933,0.740306,0.512406,0.508471,0.516708,0.606434,0.612087,0.601723,0.513255,0.519081,0.506793,0.506183,0.493937,0.518682,0.708718,0.683206,0.723233
sub-FREAD005,0.476618,0.465602,0.487112,0.621726,0.617095,0.626203,0.477736,0.715977,0.713835,0.664976,0.690232,0.64129,0.460065,0.446139,0.474193,0.482892,0.47306,0.492481,0.501769,0.488394,0.515428,0.478843,0.476457,0.481329,0.480659,0.568399,0.517723,0.546114,0.674821,0.628624,0.630312,0.626908,0.574498,0.595555,0.554893,0.502375,0.496656,0.506957,0.666907,0.667934,0.665863,0.565344,0.571926,0.559255,0.593153,0.602787,0.582819,0.746395,0.482447,0.473228,0.492525,0.634305,0.613068,0.652003,0.502274,0.497331,0.507758,0.565424,0.559167,0.57181,0.518415,0.539249,0.506561
sub-FREAD006,0.442381,0.439054,0.44555,0.617854,0.602606,0.632592,0.479851,0.645845,0.656972,0.584206,0.593921,0.575095,0.589155,0.600857,0.577283,0.46862,0.464112,0.473017,0.520601,0.510656,0.530756,0.481814,0.473179,0.49081,0.603721,0.591453,0.654574,0.61921,0.625877,0.617,0.617475,0.616516,0.534367,0.55668,0.513593,0.509663,0.491518,0.524201,0.659094,0.667657,0.650382,0.519819,0.50883,0.529985,0.568857,0.57792,0.559136,0.704976,0.484159,0.483684,0.484679,0.669251,0.669633,0.668933,0.500977,0.498536,0.503684,0.542149,0.523147,0.561542,0.481486,0.426268,0.512903
sub-FREAD007,0.386673,0.391512,0.382063,0.573853,0.572699,0.574969,0.43316,0.596249,0.61008,0.485764,0.499349,0.473023,0.464807,0.491426,0.437802,0.430937,0.441409,0.420723,0.480432,0.497849,0.462647,0.419151,0.431992,0.405773,0.446948,0.520131,0.531147,0.524975,0.567852,0.580672,0.584697,0.57658,0.532318,0.563833,0.502976,0.500039,0.507237,0.494271,0.627724,0.627672,0.627777,0.484887,0.485213,0.484586,0.535278,0.550065,0.519418,0.673073,0.457208,0.476256,0.436383,0.570064,0.554954,0.582655,0.445805,0.442759,0.449183,0.467869,0.470422,0.465264,0.516259,0.538762,0.503455
sub-FREAD008,0.449193,0.436245,0.461528,0.64565,0.64732,0.644035,0.504742,0.711023,0.712765,0.625303,0.633392,0.617716,0.55831,0.57965,0.536661,0.476802,0.472642,0.480859,0.551062,0.578708,0.522831,0.539704,0.536563,0.542977,0.512524,0.557874,0.525766,0.543755,0.67209,0.626445,0.62499,0.627924,0.55866,0.530448,0.584926,0.508348,0.512471,0.505045,0.652574,0.656412,0.648669,0.538812,0.533776,0.543471,0.576334,0.56767,0.585626,0.753542,0.498159,0.501062,0.494985,0.639085,0.615149,0.659031,0.525392,0.520551,0.530762,0.532581,0.525041,0.540277,0.517293,0.518228,0.516761
sub-FREAD009,0.441814,0.433086,0.450128,0.590309,0.575562,0.604564,0.485166,0.676142,0.672459,0.564012,0.551374,0.575865,0.447144,0.447873,0.446405,0.4793,0.473186,0.485264,0.55887,0.547967,0.570003,0.435456,0.42028,0.451267,0.501008,0.50146,0.524608,0.511639,0.615233,0.601426,0.594205,0.608766,0.537334,0.528767,0.54531,0.543,0.544724,0.541619,0.64479,0.635092,0.654656,0.596192,0.580232,0.610957,0.564825,0.568691,0.560678,0.71929,0.499321,0.494364,0.50474,0.623706,0.602606,0.641289,0.498735,0.485323,0.513612,0.557671,0.549914,0.565588,0.578623,0.536183,0.60277
sub-FREAD010,0.421428,0.440177,0.403566,0.606348,0.590375,0.621787,0.490675,0.687865,0.674499,0.568428,0.57856,0.558926,0.548784,0.625005,0.471459,0.462352,0.474402,0.450598,0.49792,0.501681,0.49408,0.462933,0.462729,0.463145,0.571466,0.472776,0.54509,0.504576,0.616839,0.62675,0.622497,0.631073,0.516297,0.536202,0.497764,0.503261,0.49924,0.506483,0.668225,0.672423,0.663955,0.544837,0.545558,0.544169,0.602326,0.600971,0.60378,0.705093,0.496526,0.505748,0.486443,0.64657,0.656628,0.638189,0.516877,0.508565,0.526098,0.52068,0.513143,0.528372,0.553138,0.532368,0.564955
