subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.00075967,0.000751779,0.000767606,0.000670518,0.000652415,0.000686973,0.000718968,0.000731177,0.000752075,0.000687384,0.000679341,0.000695987,0.000732895,0.000744579,0.000721122,0.000737872,0.000733345,0.000742243,0.000653332,0.000653593,0.000653052,0.000715629,0.000707472,0.000723753,0.00130318,0.000680827,0.000692943,0.000686147,0.000846078,0.00067516,0.000666137,0.000683723,0.000732054,0.00073985,0.000725557,0.000774644,0.000771588,0.000777367,0.000656066,0.000651838,0.000660251,0.000766945,0.000769933,0.000764048,0.000702502,0.000697119,0.000707577,0.000706169,0.000694297,0.000693101,0.000695448,0.00068377,0.000696475,0.000671454,0.000702642,0.000700441,0.000704796,0.000777851,0.000762815,0.000792933,0.00104092,0.00111451,0.0009902
sub-FREAD002,0.000740188,0.000741015,0.000739356,0.000653273,0.000650726,0.000655588,0.000726926,0.000757879,0.000741105,0.000675485,0.000678342,0.000672428,0.000701795,0.000690043,0.000713637,0.000718382,0.000714636,0.000721999,0.000638096,0.000630416,0.000646321,0.000708898,0.00070375,0.000714025,0.0016159,0.000668789,0.000672348,0.000670352,0.000760572,0.000663727,0.000660041,0.000667226,0.000711373,0.00068508,0.000733284,0.000729265,0.00071379,0.00074305,0.000631304,0.000627023,0.000635541,0.0007698,0.000756132,0.000783049,0.00071275,0.000709423,0.000715887,0.000702624,0.00068819,0.000684668,0.000691578,0.000670238,0.000669321,0.000671126,0.000692828,0.000695697,0.00069002,0.000760708,0.000748028,0.000773428,0.00084657,0.000848003,0.000845582
sub-FREAD003,0.000736174,0.000744311,0.000727991,0.00065573,0.000661299,0.000650668,0.00074337,0.000739412,0.000761729,0.000719846,0.000715445,0.000724554,0.000741763,0.000740034,0.000743506,0.000715618,0.000720872,0.000710543,0.000654574,0.000641926,0.000668119,0.000702571,0.000701941,0.000703199,0.00122214,0.000709848,0.000704343,0.000707431,0.000796967,0.000678627,0.0006818,0.000675616,0.00069821,0.000709206,0.000689046,0.000762476,0.000765055,0.000760178,0.00065287,0.000655599,0.000650168,0.00082349,0.000849374,0.000798402,0.0007323,0.00073397,0.000730725,0.000764406,0.000668225,0.00067191,0.000664681,0.000649636,0.000659066,0.000640494,0.000708703,0.000716625,0.000700946,0.000787973,0.000788893,0.000787051,0.000926548,0.000941917,0.000915956
sub-FREAD004,0.000699467,0.000674779,0.000724346,0.000580811,0.000564623,0.000595526,0.000615627,0.000656396,0.000639776,0.000664269,0.000671823,0.0006564,0.0003589,0.000354609,0.000363224,0.000690891,0.000677749,0.000703585,0.000572748,0.000591303,0.000552877,0.000664647,0.000657952,0.000671301,0.000436205,0.000641412,0.000600844,0.000623599,0.000660324,0.000628323,0.000619385,0.000636798,0.000688701,0.000699359,0.00067982,0.000708484,0.000693655,0.000721635,0.000628871,0.000627909,0.000629823,0.000665363,0.000650139,0.000680177,0.000675693,0.000663372,0.000687277,0.000600568,0.000672151,0.0006733,0.000671045,0.000659854,0.000679459,0.00064085,0.000674043,0.000669468,0.000678523,0.00069195,0.000701575,0.00068231,0.000616411,0.00060255,0.000625964
sub-FREAD005,0.000737966,0.000738149,0.000737781,0.000673537,0.000688664,0.000659786,0.000711673,0.0007248,0.0007054,0.000674008,0.000675427,0.00067249,0.000702486,0.000706996,0.000697942,0.000715388,0.000711151,0.00071948,0.000737664,0.000764938,0.000708455,0.000710837,0.000717321,0.000704379,0.00103091,0.000662955,0.000686081,0.000673109,0.000684251,0.00066622,0.000672174,0.00066057,0.000722695,0.000745887,0.000703369,0.000758673,0.000720967,0.000792262,0.000644096,0.000644696,0.000643501,0.000851862,0.000817803,0.000884874,0.000685087,0.000689264,0.000681149,0.000695542,0.000667568,0.000675171,0.000660255,0.000646485,0.000660456,0.000632941,0.000692822,0.000693834,0.000691831,0.000732257,0.000741331,0.000723154,0.00106547,0.000904295,0.00117437
sub-FREAD006,0.000703885,0.000741345,0.000666111,0.000556461,0.000565522,0.000548224,0.000589759,0.000672819,0.000662797,0.000634357,0.000629991,0.000639028,0.000347644,0.000256408,0.000439229,0.000690929,0.000708006,0.000674419,0.000479242,0.000463289,0.000496275,0.000566603,0.000580408,0.000552816,0.000415403,0.000538463,0.000351678,0.000456447,0.000697364,0.000583281,0.000604858,0.00056277,0.000618131,0.000635829,0.000603382,0.000714627,0.000708283,0.000720278,0.000586848,0.000605117,0.000568703,0.000726781,0.000728156,0.000725448,0.000606142,0.000643498,0.000570874,0.000621568,0.000664096,0.000669463,0.000658934,0.000658452,0.000654882,0.000661913,0.000620131,0.000627091,0.000613316,0.00060838,0.000650412,0.000566152,0.000874569,0.000922491,0.000841542
sub-FREAD007,0.000813225,0.000805945,0.000820547,0.000680476,0.000674298,0.000686091,0.000722643,0.000768003,0.000751081,0.000726255,0.000724347,0.000728296,0.000576344,0.000530524,0.000622515,0.000791306,0.000782933,0.000799391,0.000539482,0.000520626,0.000559676,0.000773566,0.000762405,0.00078468,0.000724807,0.000700686,0.00066812,0.000686386,0.000785228,0.00070761,0.000704421,0.000710637,0.000754136,0.000753911,0.000754323,0.000809538,0.00079302,0.000824252,0.000688411,0.000682911,0.000693855,0.000823239,0.000793795,0.000851779,0.000757778,0.000760414,0.000755293,0.000700747,0.000757186,0.000751411,0.000762741,0.000737359,0.000733855,0.000740755,0.000758312,0.000747509,0.00076889,0.000764721,0.000747308,0.000782188,0.000875604,0.000845904,0.000896073
sub-FREAD008,0.000693816,0.00069975,0.000687847,0.000604716,0.000613596,0.000596644,0.000591301,0.000663757,0.000654733,0.000654314,0.000643362,0.000666029,0.000539358,0.000503154,0.000577907,0.000702212,0.000700869,0.00070351,0.000572608,0.000555706,0.000590709,0.000546174,0.000553649,0.000538673,0.000468439,0.000552042,0.000545189,0.000549033,0.000656354,0.000631775,0.000642686,0.00062142,0.000644999,0.000612412,0.000672154,0.000732574,0.000717391,0.000746098,0.000623628,0.00062401,0.000623249,0.000739514,0.000718749,0.000759642,0.000668755,0.000694211,0.000644753,0.000641075,0.000695963,0.00069394,0.000697907,0.000687073,0.000724027,0.000651251,0.000645565,0.00063676,0.000654195,0.000716639,0.00069112,0.000742078,0.000868503,0.000829246,0.000895559
sub-FREAD009,0.000733211,0.000734801,0.000731611,0.00067913,0.000692024,0.000667409,0.000647154,0.00072615,0.000736199,0.000719769,0.000732711,0.000705925,0.000565623,0.000621482,0.00050846,0.000720338,0.000730675,0.000710355,0.00058359,0.000581944,0.000585352,0.000727831,0.000740051,0.000715653,0.000636126,0.000673081,0.000642649,0.000659719,0.000790492,0.000681932,0.000694407,0.000670094,0.000734529,0.000732734,0.000736024,0.000722457,0.000744609,0.000702724,0.000658513,0.000661832,0.000655227,0.000730047,0.000750609,0.000710117,0.000712549,0.000736386,0.000690074,0.000706897,0.000704743,0.000718997,0.000691033,0.00073426,0.000783417,0.000686607,0.000681806,0.000685961,0.000677737,0.000711838,0.000704122,0.000719578,0.000790852,0.000824394,0.000767736
sub-FREAD010,0.000789634,0.000792401,0.000786851,0.000558051,0.000548233,0.000566976,0.000614905,0.000669685,0.000691156,0.000674364,0.000682791,0.00066535,0.000281974,0.000238499,0.000326299,0.000748966,0.000754873,0.000743261,0.000542734,0.00055345,0.000531258,0.000637224,0.00062536,0.000649038,0.000469283,0.000560964,0.0004747,0.000523324,0.000772147,0.000607366,0.000606429,0.000608256,0.000695034,0.000670018,0.000715881,0.000762675,0.000771251,0.000755047,0.000600822,0.000593851,0.000607722,0.000699082,0.000679197,0.000718335,0.000664909,0.000679362,0.000651281,0.000656347,0.000696054,0.000703513,0.000688874,0.000617068,0.000628492,0.000605994,0.000674105,0.000669631,0.00067849,0.000748155,0.000747241,0.000749067,0.000832768,0.000892552,0.000791565
