subjectID,ACR,ACR-L,ACR-R,ALIC,ALIC-L,ALIC-R,AverageFA,BCC,CC,CGC,CGC-L,CGC-R,CGH,CGH-L,CGH-R,CR,CR-L,CR-R,CST,CST-L,CST-R,EC,EC-L,EC-R,FX,FX/ST-L,FX/ST-R,FXST,GCC,IC,IC-L,IC-R,IFO,IFO-L,IFO-R,PCR,PCR-L,PCR-R,PLIC,PLIC-L,PLIC-R,PTR,PTR-L,PTR-R,RLIC,RLIC-L,RLIC-R,SCC,SCR,SCR-L,SCR-R,SFO,SFO-L,SFO-R,SLF,SLF-L,SLF-R,SS,SS-L,SS-R,UNC,UNC-L,UNC-R
sub-FREAD001,0.000570374,0.000571794,0.000568946,0.000395662,0.000379032,0.000410779,0.00053575,0.000368867,0.000387672,0.000431126,0.000406872,0.00045707,0.000528033,0.000539204,0.000516776,0.00052404,0.000525229,0.000522891,0.000425777,0.000425151,0.000426448,0.000523575,0.000513043,0.000534063,0.00109165,0.000459717,0.000472927,0.000465517,0.000501043,0.000381878,0.000368134,0.000394923,0.000486662,0.000484756,0.00048825,0.000533958,0.000532419,0.000535328,0.000333431,0.000324907,0.00034187,0.000485837,0.00049305,0.000478846,0.000425448,0.000409916,0.000440092,0.000323496,0.00046672,0.000468012,0.000465478,0.000447032,0.000463318,0.000431244,0.000482452,0.00047983,0.00048502,0.000535942,0.000517355,0.000554586,0.000687819,0.000756381,0.000640567
sub-FREAD002,0.00052464,0.000525324,0.000523953,0.000391845,0.000382186,0.000400624,0.00054252,0.000403791,0.000385219,0.000411512,0.000400336,0.000423467,0.000475388,0.000469157,0.000481666,0.000475509,0.000472816,0.000478109,0.000421608,0.000405392,0.000438975,0.000501695,0.000491905,0.000511444,0.00149223,0.000464773,0.000476912,0.000470103,0.00044441,0.000374936,0.000368352,0.000381185,0.000442164,0.000403686,0.000474229,0.000472642,0.000458228,0.000485481,0.000310676,0.000307953,0.000313371,0.000489875,0.000486515,0.000493132,0.000434113,0.000428111,0.000439773,0.000312715,0.000421652,0.00041958,0.000423645,0.000404476,0.000402691,0.000406206,0.000471566,0.000481116,0.000462215,0.000517647,0.000505318,0.000530015,0.000565108,0.000557991,0.000570013
sub-FREAD003,0.000557693,0.000570011,0.000545304,0.000393057,0.00039712,0.000389363,0.000558926,0.000403268,0.000410901,0.000468904,0.000453815,0.000485045,0.000528986,0.000520835,0.000537199,0.000508359,0.000514027,0.000502886,0.000414681,0.000391295,0.000439657,0.000518963,0.000516514,0.000521402,0.000946412,0.000489041,0.000495762,0.000491992,0.00046933,0.000377594,0.000377408,0.00037777,0.000505714,0.000526098,0.000488728,0.000531411,0.000537808,0.000525713,0.000323622,0.00032609,0.000321178,0.000538722,0.000562148,0.000516016,0.000426024,0.000420303,0.000431418,0.000375013,0.000440868,0.000437714,0.000443902,0.000432995,0.000434967,0.000431083,0.000492393,0.000497496,0.000487397,0.00052842,0.000529101,0.000527737,0.000620417,0.000644436,0.000603863
sub-FREAD004,0.000524297,0.000498006,0.00055069,0.000349498,0.00033758,0.000360299,0.000450227,0.00035295,0.000333748,0.000403545,0.000409855,0.000396971,0.000280361,0.000284089,0.000276738,0.000493311,0.000481501,0.000504665,0.000407035,0.000412983,0.000400664,0.000483574,0.000475608,0.000491464,0.000332019,0.000462391,0.000437494,0.000451463,0.000357981,0.000371065,0.000361027,0.000380552,0.000411201,0.000415816,0.000407355,0.000489592,0.000480288,0.000497706,0.000343257,0.000336226,0.000350218,0.000427781,0.000422144,0.000433201,0.000426066,0.000414908,0.00043647,0.000287517,0.000460398,0.000463149,0.00045775,0.000442988,0.000449647,0.000436533,0.000466213,0.000461866,0.000470452,0.000490137,0.000508361,0.000472084,0.000320115,0.000312831,0.000325204
sub-FREAD005,0.000548876,0.000555128,0.000542587,0.000399362,0.000415451,0.000384737,0.000533484,0.000355889,0.000344643,0.000406843,0.000379842,0.000435726,0.000513806,0.000526036,0.000501483,0.000524615,0.000523791,0.000525411,0.000530202,0.000561706,0.000496462,0.000515228,0.000517598,0.000512867,0.000739687,0.000437013,0.000482542,0.000457004,0.000360254,0.000392541,0.000395572,0.000389665,0.000475004,0.000478492,0.000472097,0.000554397,0.000521908,0.000583337,0.000357868,0.000358714,0.00035703,0.000559576,0.000529114,0.000589102,0.000426796,0.000420712,0.000432532,0.000316805,0.000481883,0.000488626,0.000475398,0.000426019,0.000440769,0.000411721,0.000490024,0.000492495,0.000487605,0.000477966,0.000485599,0.00047031,0.000759684,0.000606786,0.000862994
sub-FREAD006,0.000541495,0.000570193,0.000512538,0.000330913,0.00034595,0.000317245,0.000441541,0.000394453,0.000378528,0.000423454,0.000415843,0.000431595,0.00024586,0.000172391,0.000322377,0.000507104,0.000520632,0.000494022,0.000326776,0.000315593,0.000338644,0.000420831,0.000422885,0.000418762,0.000292094,0.000356485,0.000244744,0.000309273,0.000419298,0.000348335,0.000357503,0.000339575,0.000421743,0.000427816,0.000416683,0.000509807,0.000508066,0.000511358,0.000325348,0.000327617,0.000323072,0.00050126,0.000509529,0.000493245,0.00039316,0.000405292,0.000381647,0.000323871,0.000467032,0.000469786,0.000464383,0.000429212,0.000420294,0.000437857,0.000447174,0.000451121,0.000443307,0.000417518,0.000449989,0.000384845,0.000634589,0.000690661,0.000595944
sub-FREAD007,0.000654965,0.000646704,0.000663273,0.000431224,0.000428548,0.000433657,0.000556702,0.000480706,0.000454179,0.000523926,0.000521413,0.000526615,0.000418091,0.000376824,0.000459674,0.000604497,0.000594001,0.000614633,0.000394566,0.00037657,0.000413781,0.000591552,0.00057374,0.000609291,0.000585048,0.000488146,0.000466198,0.000478509,0.000499311,0.000444432,0.00043885,0.00044973,0.000511288,0.000495764,0.000524225,0.000588629,0.000574009,0.000601653,0.000403818,0.000400204,0.000407396,0.000581626,0.000555477,0.000606971,0.000505952,0.000496055,0.000515284,0.000381941,0.00055586,0.000543226,0.000568012,0.000519278,0.000517336,0.00052116,0.000566204,0.00055996,0.000572317,0.000551468,0.000537225,0.000565756,0.000590803,0.000557022,0.000614084
sub-FREAD008,0.00052518,0.000538506,0.000511795,0.000351416,0.000357372,0.000346018,0.000431907,0.000338307,0.000331182,0.000387177,0.000380936,0.000393853,0.000378736,0.000342378,0.000417548,0.000510001,0.000512139,0.000507939,0.000380631,0.000361667,0.00040094,0.000384441,0.000390234,0.000378575,0.000339608,0.000374006,0.000384406,0.000378592,0.000357148,0.000372678,0.000380985,0.000364795,0.000417744,0.000406317,0.000427266,0.000524568,0.000509797,0.000537725,0.00034824,0.00034839,0.000348091,0.000494485,0.000479042,0.000509209,0.000423317,0.000444001,0.000403715,0.00030032,0.000485372,0.000482945,0.000487704,0.000476759,0.000512884,0.000441739,0.000443408,0.000439852,0.000446879,0.000488998,0.000478533,0.000499398,0.000597526,0.000566358,0.000619006
sub-FREAD009,0.000555393,0.000557686,0.000553086,0.000424563,0.000440204,0.000410346,0.000478268,0.000393578,0.000396791,0.000473514,0.000471189,0.000476002,0.00043185,0.000479929,0.000383963,0.000526019,0.000531569,0.00052066,0.000394355,0.000394339,0.000394373,0.000545637,0.000559294,0.000531999,0.000489153,0.000484215,0.000444852,0.000466931,0.000460842,0.00041598,0.000427729,0.00040483,0.000500965,0.0005059,0.000496853,0.000512899,0.000516373,0.000509805,0.000375233,0.000384321,0.000366237,0.000464876,0.000484957,0.000445374,0.000455664,0.00046817,0.000443872,0.00035029,0.000499711,0.00050902,0.000490763,0.000516916,0.000572523,0.000463012,0.000477976,0.000491325,0.000464898,0.000467959,0.000467189,0.000468731,0.000537803,0.000546631,0.000531718
sub-FREAD010,0.00061728,0.000614813,0.000619759,0.000334896,0.000339429,0.000330782,0.000452865,0.000367124,0.00038204,0.000446893,0.000450347,0.000443198,0.000205925,0.000158835,0.000255653,0.000553111,0.000552891,0.000553323,0.000379943,0.000379629,0.00038028,0.000465475,0.000456277,0.000474604,0.000388015,0.000416134,0.000342513,0.00038426,0.000461881,0.000354828,0.000355014,0.000354653,0.000482735,0.000458408,0.000503007,0.000545056,0.000544511,0.000545542,0.000326146,0.000317495,0.000334709,0.000472893,0.00045933,0.000485943,0.000409075,0.000416143,0.000402402,0.000338771,0.000484986,0.000485803,0.000484199,0.000401664,0.000414422,0.000389296,0.000467909,0.000472734,0.000463191,0.000513132,0.000513719,0.000512545,0.000563295,0.000616215,0.000526823
